coin_ | <:coin_:1516860059370655864>
coin_2z | <:coin_2z:1516860472496754749>
coin_9bit | <:coin_9bit:1516860391437635704>
coin_a7a5 | <:coin_a7a5:1516860134075142195>
coin_aave | <:coin_aave:1516859947349184695>
coin_ada | <:coin_ada:1516859747964551178>
coin_adi | <:coin_adi:1516860158276407306>
coin_aero | <:coin_aero:1516860149254324366>
coin_akt | <:coin_akt:1516860564973031607>
coin_algo | <:coin_algo:1516860003850522745>
coin_apepe | <:coin_apepe:1516860600209113108>
coin_apt | <:coin_apt:1516860090966212629>
coin_apxusd | <:coin_apxusd:1516860334487638177>
coin_apyusd | <:coin_apyusd:1516860714537455626>
coin_arb | <:coin_arb:1516860096791969933>
coin_aster | <:coin_aster:1516859864062758942>
coin_avax | <:coin_avax:1516859814540742886>
coin_axs | <:coin_axs:1516860734355542206>
coin_b | <:coin_b:1516860584870674442>
coin_bcap | <:coin_bcap:1516859985685123122>
coin_bch | <:coin_bch:1516859774195728516>
coin_bdx | <:coin_bdx:1516860077204701216>
coin_beat | <:coin_beat:1516860144527347795>
coin_bfusd | <:coin_bfusd:1516859927577100318>
coin_bgb | <:coin_bgb:1516859938482290698>
coin_bill | <:coin_bill:1516860827045462096>
coin_bnb | <:coin_bnb:1516859680289460287>
coin_bonk | <:coin_bonk:1516860302862450831>
coin_btc | <:coin_btc:1516859667093917877>
coin_btse | <:coin_btse:1516860727414096113>
coin_btt | <:coin_btt:1516860478889132215>
coin_buidl | <:coin_buidl:1516859845712547960>
coin_cake | <:coin_cake:1516860278757654701>
coin_chz | <:coin_chz:1516860498845372426>
coin_coco | <:coin_coco:1516860592101527693>
coin_comp | <:coin_comp:1516860746812887154>
coin_cro | <:coin_cro:1516859823612887111>
coin_crv | <:coin_crv:1516860357921079348>
coin_crvusd | <:coin_crvusd:1516860672988942418>
coin_dai | <:coin_dai:1516859778930839612>
coin_dash | <:coin_dash:1516860162877690027>
coin_dexe | <:coin_dexe:1516860045499957310>
coin_doge | <:coin_doge:1516859711746736191>
coin_dot | <:coin_dot:1516859887131427040>
coin_ena | <:coin_ena:1516860012549378099>
coin_ens | <:coin_ens:1516860619700174898>
coin_etc | <:coin_etc:1516859952009052270>
coin_eth | <:coin_eth:1516859671057666071>
coin_ethfi | <:coin_ethfi:1516860384580075663>
coin_eurc | <:coin_eurc:1516860291957395466>
coin_eursafo | <:coin_eursafo:1516860116765249718>
coin_eutbl | <:coin_eutbl:1516859990529282250>
coin_fdusd | <:coin_fdusd:1516860378032902297>
coin_fet | <:coin_fet:1516860258222346471>
coin_ff | <:coin_ff:1516860613274374205>
coin_floki | <:coin_floki:1516860505732419765>
coin_flr | <:coin_flr:1516860063942443088>
coin_frax | <:coin_frax:1516860550196232323>
coin_gho | <:coin_gho:1516860086746611722>
coin_gno | <:coin_gno:1516860432898330635>
coin_gram | <:coin_gram:1516859770118602904>
coin_grass | <:coin_grass:1516860422169559193>
coin_grt | <:coin_grt:1516860653535494305>
coin_gt | <:coin_gt:1516860041196736684>
coin_gwei | <:coin_gwei:1516860543653118052>
coin_h | <:coin_h:1516860337620521072>
coin_hbar | <:coin_hbar:1516859792373710848>
coin_htx | <:coin_htx:1516859900964245604>
coin_inj | <:coin_inj:1516860110650216500>
coin_jaaa | <:coin_jaaa:1516860054412722267>
coin_jasmy | <:coin_jasmy:1516860513253064914>
coin_jst | <:coin_jst:1516860050059165797>
coin_jto | <:coin_jto:1516860371376537793>
